Date,Passengers,Day,Month,Year,Seasonal_Difference
1996-01-01,115,1,1,1996,3.0
1996-02-01,126,1,2,1996,8.0
1996-03-01,141,1,3,1996,9.0
1996-04-01,135,1,4,1996,6.0
1996-05-01,125,1,5,1996,4.0
1996-06-01,149,1,6,1996,14.0
1996-07-01,170,1,7,1996,22.0
1996-08-01,170,1,8,1996,22.0
1996-09-01,158,1,9,1996,22.0
1996-10-01,133,1,10,1996,14.0
1996-11-01,114,1,11,1996,10.0
1996-12-01,140,1,12,1996,22.0
1997-01-01,145,1,1,1997,30.0
1997-02-01,150,1,2,1997,24.0
1997-03-01,178,1,3,1997,37.0
1997-04-01,163,1,4,1997,28.0
1997-05-01,172,1,5,1997,47.0
1997-06-01,178,1,6,1997,29.0
1997-07-01,199,1,7,1997,29.0
1997-08-01,199,1,8,1997,29.0
1997-09-01,184,1,9,1997,26.0
1997-10-01,162,1,10,1997,29.0
1997-11-01,146,1,11,1997,32.0
1997-12-01,166,1,12,1997,26.0
1998-01-01,171,1,1,1998,26.0
1998-02-01,180,1,2,1998,30.0
1998-03-01,193,1,3,1998,15.0
1998-04-01,181,1,4,1998,18.0
1998-05-01,183,1,5,1998,11.0
1998-06-01,218,1,6,1998,40.0
1998-07-01,230,1,7,1998,31.0
1998-08-01,242,1,8,1998,43.0
1998-09-01,209,1,9,1998,25.0
1998-10-01,191,1,10,1998,29.0
1998-11-01,172,1,11,1998,26.0
1998-12-01,194,1,12,1998,28.0
1999-01-01,196,1,1,1999,25.0
1999-02-01,196,1,2,1999,16.0
1999-03-01,236,1,3,1999,43.0
1999-04-01,235,1,4,1999,54.0
1999-05-01,229,1,5,1999,46.0
1999-06-01,243,1,6,1999,25.0
1999-07-01,264,1,7,1999,34.0
1999-08-01,272,1,8,1999,30.0
1999-09-01,237,1,9,1999,28.0
1999-10-01,211,1,10,1999,20.0
1999-11-01,180,1,11,1999,8.0
1999-12-01,201,1,12,1999,7.0
2000-01-01,204,1,1,2000,8.0
2000-02-01,188,1,2,2000,-8.0
2000-03-01,235,1,3,2000,-1.0
2000-04-01,227,1,4,2000,-8.0
2000-05-01,234,1,5,2000,5.0
2000-06-01,264,1,6,2000,21.0
2000-07-01,302,1,7,2000,38.0
2000-08-01,293,1,8,2000,21.0
2000-09-01,259,1,9,2000,22.0
2000-10-01,229,1,10,2000,18.0
2000-11-01,203,1,11,2000,23.0
2000-12-01,229,1,12,2000,28.0
2001-01-01,242,1,1,2001,38.0
2001-02-01,233,1,2,2001,45.0
2001-03-01,267,1,3,2001,32.0
2001-04-01,269,1,4,2001,42.0
2001-05-01,270,1,5,2001,36.0
2001-06-01,315,1,6,2001,51.0
2001-07-01,364,1,7,2001,62.0
2001-08-01,347,1,8,2001,54.0
2001-09-01,312,1,9,2001,53.0
2001-10-01,274,1,10,2001,45.0
2001-11-01,237,1,11,2001,34.0
2001-12-01,278,1,12,2001,49.0
2002-01-01,284,1,1,2002,42.0
2002-02-01,277,1,2,2002,44.0
2002-03-01,317,1,3,2002,50.0
2002-04-01,313,1,4,2002,44.0
2002-05-01,318,1,5,2002,48.0
2002-06-01,374,1,6,2002,59.0
2002-07-01,413,1,7,2002,49.0
2002-08-01,405,1,8,2002,58.0
2002-09-01,355,1,9,2002,43.0
2002-10-01,306,1,10,2002,32.0
2002-11-01,271,1,11,2002,34.0
2002-12-01,306,1,12,2002,28.0
